traj_id,url,smoothness,path_length,max_acc,r_wrist_roll_link_length,r_wrist_roll_link_smoothness,r_wrist_roll_link_max_curvature,r_wrist_roll_link_h_traj_line,r_wrist_roll_link_h_line_traj,r_wrist_roll_link_H_traj_line,r_wrist_roll_link_imh_traj_line,r_wrist_roll_link_DTW,r_wrist_roll_link_lin_acc,r_elbow_flex_link_length,r_elbow_flex_link_smoothness,r_elbow_flex_link_max_curvature,r_elbow_flex_link_h_traj_line,r_elbow_flex_link_h_line_traj,r_elbow_flex_link_H_traj_line,r_elbow_flex_link_imh_traj_line,r_elbow_flex_link_DTW,r_elbow_flex_link_lin_acc,maxmin_joint_limit_distance
2014_Sep_17_18_38_58,http://www.youtube.com/watch?v=N1DBCn3mTjg,0.0963375,12.6991,1.05958,1.79538,0.218101,0.922328,2.41683,2.29408,2.41683,2.26488,1.05033,5.85534,0.768512,0.121527,0.62513,2.23173,2.49484,2.49484,2.14504,0.973771,1.09527,0.496748
2014_Sep_17_18_38_59,http://www.youtube.com/watch?v=20JLLLNDK6A,0.158759,11.3097,0.240608,1.25092,0.42687,0.943649,2.34232,2.29408,2.34232,2.10313,0.979099,2.10392,0.604894,0.416308,0.583955,2.14011,2.49484,2.49484,2.06536,0.909271,0.298215,0.462495
2014_Sep_17_18_39_00,http://www.youtube.com/watch?v=rcvm-UERshg,0.237971,11.7675,0.542159,1.2454,0.207793,0.836307,2.33132,2.29408,2.33132,2.11783,1.00438,1.90309,0.684147,0.23886,0.602444,2.18146,2.49484,2.49484,2.07338,0.932249,0.595669,0.498244
2014_Sep_17_18_39_01,http://www.youtube.com/watch?v=z8KFm1jQ5Dw,0.0449361,13.6716,0.54497,1.42799,0.0703903,0.816538,2.43322,2.63668,2.63668,2.28781,0.808225,4.90714,0.765345,0.0391674,0.56741,2.16398,2.55979,2.55979,2.07929,0.818839,0.812652,0.476836
2014_Sep_17_18_39_03,http://www.youtube.com/watch?v=egAkSBskKAE,0.221026,8.3021,0.0900149,1.6137,0.359144,0.872948,2.48995,2.63658,2.63658,2.30873,0.775589,1.15448,0.982161,0.390453,0.582614,2.23553,2.55826,2.55826,2.1086,0.783238,0.443747,0.455957
2014_Sep_17_18_39_04,http://www.youtube.com/watch?v=kqE4EnBNM1Q,0.224197,8.88797,0.0509205,2.31327,0.561044,0.887167,1.2966,1.33496,1.33496,0.844957,0.497859,2.20094,1.4125,0.594766,0.593402,1.24554,1.61844,1.61844,1.0209,0.61424,0.705607,0.456567
2014_Sep_17_18_39_05,http://www.youtube.com/watch?v=mQAW6rUUXsQ,0.931972,15.4969,0.811576,2.20359,0.949561,0.876414,1.52414,1.19884,1.52414,1.0251,0.634251,4.65069,0.96958,0.922966,0.627066,1.27276,1.44874,1.44874,1.04813,0.738382,1.05242,0.494573
2014_Sep_17_18_39_06,http://www.youtube.com/watch?v=IOSQruTWLjY,0.633602,9.84071,0.661725,1.84836,0.986157,0.851742,2.31371,2.19984,2.31371,2.12884,1.00895,2.25272,1.05449,0.976005,0.597796,2.21561,2.39046,2.39046,2.10749,0.969255,0.732242,0.462495
2014_Sep_17_18_39_07,http://www.youtube.com/watch?v=-2waSFH0axQ,0.6111,10.9177,0.227104,1.62289,0.937929,0.868722,2.35653,2.19984,2.35653,2.1838,1.01256,0.691222,1.26645,1.04041,0.607801,2.29976,2.39046,2.39046,2.161,0.991067,0.542814,0.462495
2014_Sep_17_18_39_08,http://www.youtube.com/watch?v=vDOTCcEdjJg,0.114984,11.3644,1.62156,0.838894,0.276395,0.797373,2.60691,2.69929,2.69929,2.49679,0.909308,1.53406,0.496354,0.58922,0.488381,2.38573,2.5729,2.5729,2.32148,0.92155,0.527438,0.419343
